loc,avg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Gangnam-gu,42,26,34,25,34,46,51,57,63,118,86,30,27,28,30,41,41,26,34,44,38,36,44,61,18,29,55,57,32,28,31,29
Gangdong-gu,48,33,39,30,39,57,64,66,75,129,72,33,30,32,37,49,47,31,42,52,46,39,49,70,18,28,62,68,41,32,36,37
Gangbuk-gu,48,32,41,26,38,46,48,64,72,132,99,40,29,35,31,49,51,39,45,50,41,36,56,69,24,25,57,69,44,31,39,39
Gangseo-gu,50,30,38,30,41,58,64,71,42,122,96,36,35,36,37,48,46,29,41,49,44,50,67,77,39,35,65,68,38,35,38,33
Gwanak-gu,38,25,30,22,30,40,45,55,52,105,74,27,25,26,28,35,37,23,31,36,32,31,43,58,19,30,50,51,28,26,28,26
Gwangjin-gu,40,26,32,24,30,44,48,51,59,108,79,28,25,24,30,40,40,23,35,42,36,32,42,60,17,26,54,58,,27,32,31
Guro-gu,44,22,35,27,34,49,51,64,59,113,88,30,27,31,31,44,39,29,37,42,35,40,53,66,,32,55,57,32,29,31,29
Geumcheon-gu,44,27,38,21,34,48,54,77,56,127,91,31,29,29,32,38,41,23,37,42,37,49,59,69,18,31,59,60,32,29,31,28
Nowon-gu,46,34,36,26,36,54,50,67,66,123,91,32,28,32,33,43,45,29,38,42,40,38,57,64,27,30,54,69,39,30,39,37
Dobong-gu,46,33,34,25,35,52,48,60,65,132,83,30,25,30,34,46,48,26,36,46,37,36,55,65,28,32,51,64,61,29,36,37
Dongdaemun-gu,44,29,36,27,34,48,47,68,63,119,100,30,26,29,30,46,44,26,35,44,44,37,51,64,24,30,58,58,32,28,33,31
Dongjak-gu,49,31,38,27,38,57,59,70,61,135,97,35,33,34,34,46,48,30,40,48,42,47,60,74,29,36,64,67,37,33,36,34
Mapo-gu,38,24,29,24,29,47,49,50,52,98,72,29,24,27,26,36,35,22,32,38,35,30,48,61,25,27,51,52,30,26,28,26
Seodaemun-gu,41,29,33,22,34,46,48,56,58,107,79,31,26,35,31,34,42,22,37,43,40,32,49,48,29,15,58,54,32,29,35,28
Seocho-gu,39,21,28,24,30,45,49,56,55,106,84,25,23,30,25,43,36,27,29,40,32,35,49,60,17,28,54,51,27,24,29,26
Seongdong-gu,45,28,36,27,36,51,60,61,66,124,91,33,28,31,32,45,44,28,37,46,41,40,51,66,21,30,60,62,36,29,34,33
Seongbuk-gu,40,26,29,21,30,46,42,56,62,110,80,24,17,20,30,44,43,24,33,41,33,32,50,61,20,27,53,58,29,24,32,32
Songpa-gu,43,28,33,22,35,47,52,62,54,112,84,32,30,34,34,43,43,26,39,42,39,37,45,62,23,30,56,61,37,30,34,31
Yangcheon-gu,46,28,34,27,33,50,54,63,59,115,89,30,29,34,33,44,58,28,37,47,43,47,70,69,32,33,61,63,35,31,34,29
Yeongdeungpo-gu,42,27,32,27,32,48,52,63,56,108,80,29,28,30,29,42,38,25,35,42,37,38,54,64,26,30,55,56,32,28,31,30
Yongsan-gu,43,28,33,25,36,50,56,58,56,106,78,31,29,34,29,43,39,26,36,41,37,38,45,61,21,47,58,48,35,32,34,30
Eunpyeong-gu,41,23,32,23,33,45,47,50,54,107,83,34,27,29,32,35,40,25,36,44,38,30,53,63,19,33,57,55,34,30,26,28
Jongno-gu,43,28,35,25,34,47,48,49,62,117,85,31,28,32,31,44,43,25,35,45,39,36,50,60,21,29,58,58,33,29,31,30
Jung-gu,43,29,36,24,34,47,52,56,60,119,86,29,27,31,30,46,41,23,35,47,44,36,51,64,23,30,60,61,34,29,32,32
Jungnang-gu,43,26,35,25,35,48,49,60,67,118,87,30,27,30,30,43,44,27,37,46,40,33,48,61,19,19,57,61,37,28,34,35
